publisher,hostname
AAS Open Research,aasopenresearch.org
Advance (Sage preprint),advance.sagepub.com
AfricArxiv,info.africarxiv.org
AgEcon Search,ageconsearch.umn.edu
AgriRxiv,agrirxiv.org
AMRC Open Research,amrcopenresearch.org
APSA Preprints,preprints.apsanet.org
Arabixiv,about.arabixiv.org
ARPHA Preprints,preprints.arphahub.com
ART-Dok,archiv.ub.uni-heidelberg.de
arXiv,arxiv.org
Authorea,www.authorea.com
Beilstein Archive,www.beilstein-archives.org
Bepress Legal Repository,law.bepress.com
biohackrxiv,biohackrxiv.org
bioRxiv,www.biorxiv.org
BodoArXiv,bodoarxiv.wordpress.com
Cell Press Sneak peek,www.ssrn.com
CERN document server,cds.cern.ch
ChemRxiv,chemrxiv.org
ChinaXiv,chinaxiv.org
Cogprints,cogprints.org
CrimRxiv,www.crimrxiv.com
CrossAsia-Repository,crossasia-repository.ub.uni-heidelberg.de
Cryptology ePrint Archive,eprint.iacr.org
Digital Access to Scholarship Harvard,dash.harvard.edu
Dspace @ MIT,dspace.mit.edu
E-lis,eprints.rclis.org
Earth-prints Repository,www.earth-prints.org
EarthArXiv,eartharxiv.org
EasyChair preprints,easychair.org
EcoEvoRxiv,www.ecoevorxiv.com
ECONSTOR,www.econstor.eu
ECSarXiv,ecsarxiv.org
EdArXiv,edarxiv.org
engrxiv,engrxiv.org
ERIC,eric.ed.gov
ESSOAr,www.essoar.org
F1000 Research,f1000research.com
Figshare,figshare.com
FocUS Archive,osf.io
Frenxiv,frenxiv.org
Gates Open Research,gatesopenresearch.org
HAL,hal.archives-ouvertes.fr
HRB Open Research,hrbopenresearch.org
INA-Rxiv,osf.io
IndiaRxiv,ops.iihr.res.in
JMIR Preprints,preprints.jmir.org
Jxiv,jxiv.jst.go.jp
LawArxiv,osf.io
LingBuzz,ling.auf.net
LIS Scholarship Archive,lissarchive.org
LSE Research Online,eprints.lse.ac.uk
MarXiv,osf.io
Mathematical Physics Preprint Archive,web.ma.utexas.edu
MediArXiv,mediarxiv.com
MedRxiv,www.medrxiv.org
MetaArXiv,osf.io
MindRxiv,mindrxiv.org
MitoFit Preprints Archive,www.mitofit.org
MNI Open Research,mniopenresearch.org
Munich Personal RePEc Archive,mpra.ub.uni-muenchen.de
Nature Precedings,www.nature.com
NutriXiv,osf.io
Open Anthropology Research Repository,www.openanthroresearch.org
Open Research Europe,open-research-europe.ec.europa.eu
Organic Eprints,www.orgprints.org
OSF preprints,osf.io
PaleorXiv,paleorxiv.org
PeerJ Preprints,peerj.com
Philsci Archive,philsci-archive.pitt.edu
Preprints with The Lancet,www.thelancet.com
Preprints.org,www.preprints.org
Preprints.ru,preprints.ru
PropylaeumDok,archiv.ub.uni-heidelberg.de
PsyArXiv,psyarxiv.com
Research Square,www.researchsquare.com
RinarXiv,rinarxiv.lipi.go.id
Rutgers Optimality Archive,roa.rutgers.edu
SciELO Preprints,preprints.scielo.org
ScienceOpen,www.scienceopen.com
Sciencepaper Online,www.paper.edu.cn
SocArxiv,osf.io
SportRxiv,osf.io
SSOAR,www.gesis.org
SSRN,www.ssrn.com
TechRxiv,www.techrxiv.org
Therapoid,therapoid.net
ViXra,www.vixra.org
Wellcome Open Research,wellcomeopenresearch.org
WikiJournal Preprints,en.m.wikiversity.org
Zenodo,zenodo.org
Academic and Business Research Institute,www.aabri.com
Academic Journals,academicjournals.org
Academic Publishing House Researcher,aphrsro.net
ACM,dl.acm.org
Acta Scientific,actascientific.com
Adam Mickiewicz University,pressto.amu.edu.pl
Advanced Research Publications,www.advancedresearchpublications.com
AIMS Press,www.aimspress.com
AIRCC Publishing Corporation,airccse.org
Akademiai Kiado,akademiai.hu
Al-Kindi Center for Research and Development,al-kindipublisher.com
Allerton Press,www.pleiades.online
Allied Academies,www.alliedacademies.org
Alma Mater Studiorum Universit<e0> di Bologna,journals.unibo.it
AME Publishing Company,www.amegroups.cn
American Association for the Advancement of Science,www.aaas.org
American Institute of Physics,aip.scitation.org
American Mathematical Society,www.ams.org
American Meteorological Society,journals.ametsoc.org
American Physical Society,www.aps.org
American Physiological Society,www.physiology.org
American Scientific Publishers,www.aspbs.com
American Society for Microbiology,journals.asm.org
Amsterdam University Press,www.aup.nl
